"dolzina_bin","dve ali vec vrst","ena vrsta"
"(-24.1,603]",199,206
"(603,1.21e+03]",19,11
"(1.21e+03,1.81e+03]",4,5
"(1.81e+03,2.41e+03]",2,1
"(2.41e+03,3.02e+03]",1,1
"(3.02e+03,3.62e+03]",1,1
"(3.62e+03,4.22e+03]",1,0
"(4.82e+03,5.43e+03]",2,0
"(5.43e+03,6.03e+03]",1,2
"(6.03e+03,6.63e+03]",1,0
"(6.63e+03,7.24e+03]",1,0
"(7.24e+03,7.84e+03]",2,1
"(7.84e+03,8.44e+03]",1,0
"(1.03e+04,1.09e+04]",1,0
"(1.39e+04,1.45e+04]",1,0
"(1.51e+04,1.57e+04]",1,0
"(2.35e+04,2.41e+04]",1,0
"(4.22e+03,4.82e+03]",0,2
