"bin","dve ali vec vrst","ena vrsta"
"(0.684,8.9]",4,5
"(8.9,16.8]",6,2
"(16.8,24.7]",5,3
"(24.7,32.6]",5,3
"(32.6,40.5]",4,6
"(40.5,48.4]",6,2
"(48.4,56.3]",2,7
"(56.3,64.2]",4,4
"(64.2,72.1]",1,7
"(72.1,80]",3,5
"(80,87.9]",5,3
"(87.9,95.8]",4,5
"(95.8,104]",6,7
"(104,112]",4,5
"(112,120]",4,5
"(120,127]",6,5
"(127,135]",6,6
"(135,143]",5,9
"(143,151]",7,6
"(151,159]",3,7
"(159,167]",6,8
"(167,175]",6,10
"(175,183]",4,7
"(183,191]",8,8
"(191,198]",5,9
"(198,206]",11,5
"(206,214]",1,9
"(214,222]",11,12
"(222,230]",11,11
"(230,238]",9,5
"(238,246]",8,5
"(246,254]",12,8
"(254,262]",7,6
"(262,270]",5,7
"(270,278]",8,3
"(278,285]",8,4
"(285,293]",10,1
"(293,301]",7,2
"(301,309]",6,4
"(309,317]",6,4
